ibge_cod,regiao,uf,nome,porte,snt,media_mortes,pc1,prioridade,media_pop,media_frota,meta_pop,meta_veic,meta,meta_round,var,var_perc
520815,Centro-Oeste,Goiás,Gameleira de Goiás,Menor porte,Não municipalizado,0.666666666666667,0.0361357527517916,20,3817,1132.3333333333333,0.628257816960451,0.4054666984960611,0.516862257728256,1,-0.14980440893841096,-0.22470661340761633
520840,Centro-Oeste,Goiás,Goianápolis,Menor porte,Não municipalizado,3.333333333333333,-0.881788457103284,20,11231.333333333334,6350,1.8486174905829567,2.273812365719742,2.061214928151349,2,-1.2721184051819838,-0.3816355215545952
521525,Centro-Oeste,Goiás,Novo Planalto,Menor porte,Não municipalizado,0.666666666666667,-0.117065765027617,20,4494.666666666667,1523.6666666666667,0.7397981315077043,0.5455956075435665,0.6426968695256354,1,-0.023969797141031535,-0.03595469571154729
521971,Centro-Oeste,Goiás,Santo Antônio da Barra,Menor porte,Não municipalizado,0.666666666666667,-0.102456125679698,20,4820.666666666667,1420,0.793455990645537,0.5084745762711864,0.6509652834583617,1,-0.015701383208305275,-0.023552074812457902
521990,Centro-Oeste,Goiás,São Francisco de Goiás,Menor porte,Não municipalizado,2,-0.807995696469812,20,6263.666666666667,2540.6666666666665,1.0309660849274156,0.90976366674624,0.9703648758368277,1,-1.0296351241631723,-0.5148175620815861
110070,Norte,Rondônia,Campo Novo de Rondônia,Menor porte,Não municipalizado,2,-0.950881476519842,21,14138,3218,1.7363598482356297,1.724808575803982,1.7305842120198058,2,-0.26941578798019417,-0.13470789399009708
220211,Nordeste,Piauí,Campo Alegre do Fidalgo,Menor porte,Não municipalizado,0.666666666666667,0.019222932256648,21,5044.333333333333,865.6666666666666,0.6195202900775636,0.46398672792240947,0.5417535089999865,1,-0.12491315766668043,-0.18736973650002056
220410,Nordeste,Piauí,Francisco Ayres,Menor porte,Não municipalizado,0.666666666666667,-1.11681604019296,21,4348,787,0.5340000438625349,0.421822358346095,0.47791120110431495,0,-0.188755465562352,-0.2831331983435279
220735,Nordeste,Piauí,Pajeú do Piauí,Menor porte,Não municipalizado,0.333333333333333,-1.27213159903291,21,3389.3333333333335,446.3333333333333,0.41626130374074327,0.23922919857069935,0.3277452511557213,0,-0.005588082177611697,-0.01676424653283511
220740,Nordeste,Piauí,Palmeira do Piauí,Menor porte,Não municipalizado,0.666666666666667,-0.0785470723570685,21,5043.333333333333,1194.6666666666667,0.6193974749800791,0.6403266972945382,0.6298620861373087,1,-0.03680458052935831,-0.05520687079403744
220855,Nordeste,Piauí,Porto Alegre do Piauí,Menor porte,Não municipalizado,0.333333333333333,-1.08154397153199,21,2710,302.6666666666667,0.3328289141829507,0.1622256253190404,0.24752726975099554,0,-0.08580606358233744,-0.2574181907470126
221035,Nordeste,Piauí,São Lourenço do Piauí,Menor porte,Não municipalizado,0.666666666666667,-0.523287709599931,21,4572.666666666667,826.6666666666666,0.5615925024307156,0.44308320571720267,0.5023378540739591,1,-0.16432881259270782,-0.24649321888906162
250057,Nordeste,Paraíba,Algodão de Jandaíra,Menor porte,Não municipalizado,0.333333333333333,-1.16133765863905,21,2544,421.6666666666667,0.3124416080005264,0.2260081674323635,0.2692248877164449,0,-0.06410844561688805,-0.19232533685066436
