codigo,sigla_uf,nome,regiao,porte,media_mortes,municipalizacao,cluster_A,cluster_B,cluster_C,PC1
170730,TO,Dueré,Norte,Menor porte,2,Não municipalizado,2,3,3,-2.62079575529974
170755,TO,Fátima,Norte,Menor porte,0.3333333333333333,Não municipalizado,1,1,3,0.98832099129845
170765,TO,Figueirópolis,Norte,Menor porte,1.6666666666666667,Não municipalizado,3,1,3,-0.547399038154158
170770,TO,Filadélfia,Norte,Menor porte,1.3333333333333333,Não municipalizado,1,1,1,-0.339186586615538
170820,TO,Formoso do Araguaia,Norte,Menor porte,3.3333333333333335,Não municipalizado,1,1,3,-0.0859402821549271
170825,TO,Fortaleza do Tabocão,Norte,Menor porte,1.6666666666666667,Não municipalizado,2,3,2,-2.93137362392239
170830,TO,Goianorte,Norte,Menor porte,1.3333333333333333,Não municipalizado,3,1,1,-0.0531498037023503
170900,TO,Goiatins,Norte,Menor porte,1.6666666666666667,Não municipalizado,3,1,1,0.376296471254208
170980,TO,Ipueiras,Norte,Menor porte,0.6666666666666666,Não municipalizado,2,1,1,-1.41598698729506
171050,TO,Itacajá,Norte,Menor porte,0.3333333333333333,Não municipalizado,1,3,1,1.28417421023278
171070,TO,Itaguatins,Norte,Menor porte,1.6666666666666667,Não municipalizado,2,1,1,-1.36414443735546
171090,TO,Itapiratins,Norte,Menor porte,0.6666666666666666,Não municipalizado,3,1,1,0.356104667991209
171150,TO,Jaú do Tocantins,Norte,Menor porte,1,Não municipalizado,1,1,1,-0.856548576583323
171190,TO,Lagoa da Confusão,Norte,Menor porte,3.6666666666666665,Não municipalizado,2,1,3,-0.927635346861834
171195,TO,Lagoa do Tocantins,Norte,Menor porte,0.3333333333333333,Não municipalizado,3,1,1,1.17932416721049
171240,TO,Lizarda,Norte,Menor porte,0.3333333333333333,Não municipalizado,3,1,1,0.706263924649209
171245,TO,Luzinópolis,Norte,Menor porte,0.6666666666666666,Não municipalizado,1,1,1,-0.169464329883848
171250,TO,Marianópolis do Tocantins,Norte,Menor porte,2.3333333333333335,Não municipalizado,2,1,1,-3.16887872331074
171270,TO,Mateiros,Norte,Menor porte,0.3333333333333333,Não municipalizado,3,1,1,0.509832014534594
171280,TO,Maurilândia do Tocantins,Norte,Menor porte,0.3333333333333333,Não municipalizado,3,1,1,0.997543614876466
171330,TO,Miranorte,Norte,Menor porte,3.6666666666666665,Não municipalizado,1,1,3,-0.374033904772399
171360,TO,Monte do Carmo,Norte,Menor porte,1,Não municipalizado,1,1,1,0.363318887701179
171380,TO,Palmeiras do Tocantins,Norte,Menor porte,2.3333333333333335,Não municipalizado,2,1,1,-1.91604631792511
171420,TO,Natividade,Norte,Menor porte,3.6666666666666665,Não municipalizado,2,1,3,-2.45181404128289
171430,TO,Nazaré,Norte,Menor porte,0.6666666666666666,Não municipalizado,1,1,1,0.104967014627383
171488,TO,Nova Olinda,Norte,Menor porte,5,Não municipalizado,2,1,1,-2.30337035338785
171500,TO,Nova Rosalândia,Norte,Menor porte,1.3333333333333333,Não municipalizado,2,3,1,-1.5049088448561
